    0.102,    0.000,    0.100,    0.000,    1.000
    0.102,    0.000,    0.100,    0.000,    1.000
    0.102,    0.000,    0.100,    0.000,    1.000
    0.101,    0.000,    0.100,    0.000,    1.000
    0.101,    0.000,    0.100,    0.000,    1.000
    0.101,    0.000,    0.100,    0.000,    1.000
    0.101,    0.000,    0.099,    0.000,    1.000
    0.100,    0.000,    0.099,    0.000,    1.000
    0.100,    0.000,    0.099,    0.000,    1.000
    0.100,    0.000,    0.099,    0.000,    1.000
    0.100,    0.000,    0.099,    0.000,    1.000
    0.099,    0.000,    0.099,    0.000,    1.000
    0.099,    0.000,    0.099,    0.000,    1.000
    0.099,    0.000,    0.098,    0.000,    1.000
    0.099,    0.000,    0.098,    0.000,    1.000
    0.098,    0.000,    0.098,    0.000,    1.000
    0.098,    0.000,    0.098,    0.000,    1.000
    0.098,    0.000,    0.098,    0.000,    1.000
    0.098,    0.000,    0.098,    0.000,    1.000
    0.097,    0.000,    0.098,    0.000,    1.000
    0.097,    0.000,    0.097,    0.000,    1.000
    0.097,    0.000,    0.097,    0.000,    1.000
    0.097,    0.000,    0.097,    0.000,    1.000
    0.096,    0.000,    0.097,    0.000,    1.000
    0.096,    0.000,    0.097,    0.000,    1.000
    0.096,    0.000,    0.097,    0.000,    1.000
    0.096,    0.000,    0.096,    0.000,    1.000
    0.095,    0.000,    0.096,    0.000,    1.000
    0.095,    0.000,    0.096,    0.000,    1.000
    0.095,    0.000,    0.096,    0.000,    1.000
    0.095,    0.000,    0.096,    0.000,    1.000
    0.094,    0.000,    0.096,    0.000,    1.000
    0.094,    0.000,    0.096,    0.000,    1.000
    0.094,    0.000,    0.095,    0.000,    1.000
    0.094,    0.000,    0.095,    0.000,    1.000
    0.093,    0.000,    0.095,    0.000,    1.000
    0.093,    0.000,    0.095,    0.000,    1.000
    0.093,    0.000,    0.095,    0.000,    1.000
    0.093,    0.000,    0.095,    0.000,    1.000
    0.093,    0.000,    0.095,    0.000,    1.000
    0.092,    0.000,    0.094,    0.000,    1.000
    0.092,    0.000,    0.094,    0.000,    1.000
    0.092,    0.000,    0.094,    0.000,    1.000
    0.092,    0.000,    0.094,    0.000,    1.000
    0.091,    0.000,    0.094,    0.000,    1.000
    0.091,    0.000,    0.094,    0.000,    1.000
    0.091,    0.000,    0.094,    0.000,    1.000
    0.091,    0.000,    0.093,    0.000,    1.000
    0.090,    0.000,    0.093,    0.000,    1.000
    0.090,    0.000,    0.093,    0.000,    1.000
    0.090,    0.000,    0.093,    0.000,    1.000
    0.090,    0.000,    0.093,    0.000,    1.000
    0.090,    0.000,    0.093,    0.000,    1.000
    0.089,    0.000,    0.093,    0.000,    1.000
    0.089,    0.000,    0.092,    0.000,    1.000
    0.089,    0.000,    0.092,    0.000,    1.000
    0.089,    0.000,    0.092,    0.000,    1.000
    0.088,    0.000,    0.092,    0.000,    1.000
    0.088,    0.000,    0.092,    0.000,    1.000
    0.088,    0.000,    0.092,    0.000,    1.000
    0.088,    0.000,    0.092,    0.000,    1.000
    0.088,    0.000,    0.091,    0.000,    1.000
    0.087,    0.000,    0.091,    0.000,    1.000
    0.087,    0.000,    0.091,    0.000,    1.000
    0.087,    0.000,    0.091,    0.000,    1.000
    0.087,    0.000,    0.091,    0.000,    1.000
    0.087,    0.000,    0.091,    0.000,    1.000
    0.086,    0.000,    0.091,    0.000,    1.000
    0.086,    0.000,    0.091,    0.000,    1.000
    0.086,    0.000,    0.090,    0.000,    1.000
    0.086,    0.000,    0.090,    0.000,    1.000
    0.086,    0.000,    0.090,    0.000,    1.000
    0.085,    0.000,    0.090,    0.000,    1.000
    0.085,    0.000,    0.090,    0.000,    1.000
    0.085,    0.000,    0.090,    0.000,    1.000
    0.085,    0.000,    0.090,    0.000,    1.000
    0.085,    0.000,    0.089,    0.000,    1.000
    0.084,    0.000,    0.089,    0.000,    1.000
    0.084,    0.000,    0.089,    0.000,    1.000
    0.084,    0.000,    0.089,    0.000,    1.000
    0.084,    0.000,    0.089,    0.000,    1.000
    0.083,    0.000,    0.089,    0.000,    1.000
    0.083,    0.000,    0.089,    0.000,    1.000
    0.083,    0.000,    0.089,    0.000,    1.000
    0.083,    0.000,    0.088,    0.000,    1.000
    0.083,    0.000,    0.088,    0.000,    1.000
    0.083,    0.000,    0.088,    0.000,    1.000
    0.082,    0.000,    0.088,    0.000,    1.000
    0.082,    0.000,    0.088,    0.000,    1.000
    0.082,    0.000,    0.088,    0.000,    1.000
    0.082,    0.000,    0.088,    0.000,    1.000
    0.082,    0.000,    0.087,    0.000,    1.000
    0.081,    0.000,    0.087,    0.000,    1.000
    0.081,    0.000,    0.087,    0.000,    1.000
    0.081,    0.000,    0.087,    0.000,    1.000
    0.081,    0.000,    0.087,    0.000,    1.000
    0.081,    0.000,    0.087,    0.000,    1.000
    0.080,    0.000,    0.087,    0.000,    1.000
    0.080,    0.000,    0.087,    0.000,    1.000
    0.080,    0.000,    0.086,    0.000,    1.000
    0.080,    0.000,    0.086,    0.000,    1.000
    0.080,    0.000,    0.086,    0.000,    1.000
    0.079,    0.000,    0.086,    0.000,    1.000
    0.079,    0.000,    0.086,    0.000,    1.000
    0.079,    0.000,    0.086,    0.000,    1.000
    0.079,    0.000,    0.086,    0.000,    1.000
    0.079,    0.000,    0.086,    0.000,    1.000
    0.079,    0.000,    0.085,    0.000,    1.000
    0.078,    0.000,    0.085,    0.000,    1.000
    0.078,    0.000,    0.085,    0.000,    1.000
    0.078,    0.000,    0.085,    0.000,    1.000
    0.078,    0.000,    0.085,    0.000,    1.000
    0.078,    0.000,    0.085,    0.000,    1.000
    0.077,    0.000,    0.085,    0.000,    1.000
    0.077,    0.000,    0.085,    0.000,    1.000
    0.077,    0.000,    0.085,    0.000,    1.000
    0.077,    0.000,    0.084,    0.000,    1.000
    0.077,    0.000,    0.084,    0.000,    1.000
    0.077,    0.000,    0.084,    0.000,    1.000
    0.076,    0.000,    0.084,    0.000,    1.000
    0.076,    0.000,    0.084,    0.000,    1.000
    0.076,    0.000,    0.084,    0.000,    1.000
    0.076,    0.000,    0.084,    0.000,    1.000
    0.076,    0.000,    0.084,    0.000,    1.000
    0.076,    0.000,    0.083,    0.000,    1.000
    0.075,    0.000,    0.083,    0.000,    1.000
    0.075,    0.000,    0.083,    0.000,    1.000
    0.075,    0.000,    0.083,    0.000,    1.000
    0.075,    0.000,    0.083,    0.000,    1.000
    0.075,    0.000,    0.083,    0.000,    1.000
    0.075,    0.000,    0.083,    0.000,    1.000
    0.074,    0.000,    0.083,    0.000,    1.000
    0.074,    0.000,    0.082,    0.000,    1.000
    0.074,    0.000,    0.082,    0.000,    1.000
    0.074,    0.000,    0.082,    0.000,    1.000
    0.074,    0.000,    0.082,    0.000,    1.000
    0.074,    0.000,    0.082,    0.000,    1.000
    0.073,    0.000,    0.082,    0.000,    1.000
    0.073,    0.000,    0.082,    0.000,    1.000
    0.073,    0.000,    0.082,    0.000,    1.000
    0.073,    0.000,    0.082,    0.000,    1.000
    0.073,    0.000,    0.081,    0.000,    1.000
    0.073,    0.000,    0.081,    0.000,    1.000
    0.072,    0.000,    0.081,    0.000,    1.000
    0.072,    0.000,    0.081,    0.000,    1.000
    0.072,    0.000,    0.081,    0.000,    1.000
    0.072,    0.000,    0.081,    0.000,    1.000
    0.072,    0.000,    0.081,    0.000,    1.000
    0.072,    0.000,    0.081,    0.000,    1.000
    0.071,    0.000,    0.081,    0.000,    1.000
    0.071,    0.000,    0.080,    0.000,    1.000
    0.071,    0.000,    0.080,    0.000,    1.000
    0.071,    0.000,    0.080,    0.000,    1.000
    0.071,    0.000,    0.080,    0.000,    1.000
    0.071,    0.000,    0.080,    0.000,    1.000
    0.070,    0.000,    0.080,    0.000,    1.000
    0.070,    0.000,    0.080,    0.000,    1.000
    0.070,    0.000,    0.080,    0.000,    1.000
    0.070,    0.000,    0.080,    0.000,    1.000
    0.070,    0.000,    0.079,    0.000,    1.000
    0.070,    0.000,    0.079,    0.000,    1.000
    0.070,    0.000,    0.079,    0.000,    1.000
    0.069,    0.000,    0.079,    0.000,    1.000
    0.069,    0.000,    0.079,    0.000,    1.000
    0.069,    0.000,    0.079,    0.000,    1.000
    0.069,    0.000,    0.079,    0.000,    1.000
    0.069,    0.000,    0.079,    0.000,    1.000
    0.069,    0.000,    0.079,    0.000,    1.000
    0.069,    0.000,    0.078,    0.000,    1.000
    0.068,    0.000,    0.078,    0.000,    1.000
    0.068,    0.000,    0.078,    0.000,    1.000
    0.068,    0.000,    0.078,    0.000,    1.000
    0.068,    0.000,    0.078,    0.000,    1.000
    0.068,    0.000,    0.078,    0.000,    1.000
    0.068,    0.000,    0.078,    0.000,    1.000
    0.067,    0.000,    0.078,    0.000,    1.000
    0.067,    0.000,    0.078,    0.000,    1.000
    0.067,    0.000,    0.077,    0.000,    1.000
    0.067,    0.000,    0.077,    0.000,    1.000
    0.067,    0.000,    0.077,    0.000,    1.000
    0.067,    0.000,    0.077,    0.000,    1.000
    0.067,    0.000,    0.077,    0.000,    1.000
    0.066,    0.000,    0.077,    0.000,    1.000
    0.066,    0.000,    0.077,    0.000,    1.000
    0.066,    0.000,    0.077,    0.000,    1.000
    0.066,    0.000,    0.077,    0.000,    1.000
    0.066,    0.000,    0.076,    0.000,    1.000
    0.066,    0.000,    0.076,    0.000,    1.000
    0.066,    0.000,    0.076,    0.000,    1.000
    0.066,    0.000,    0.076,    0.000,    1.000
    0.065,    0.000,    0.076,    0.000,    1.000
    0.065,    0.000,    0.076,    0.000,    1.000
    0.065,    0.000,    0.076,    0.000,    1.000
    0.065,    0.000,    0.076,    0.000,    1.000
    0.065,    0.000,    0.076,    0.000,    1.000
    0.065,    0.000,    0.076,    0.000,    1.000
    0.065,    0.000,    0.075,    0.000,    1.000
    0.064,    0.000,    0.075,    0.000,    1.000
    0.064,    0.000,    0.075,    0.000,    1.000
    0.064,    0.000,    0.075,    0.000,    1.000
    0.064,    0.000,    0.075,    0.000,    1.000
    0.064,    0.000,    0.075,    0.000,    1.000
    0.064,    0.000,    0.075,    0.000,    1.000
    0.064,    0.000,    0.075,    0.000,    1.000
    0.063,    0.000,    0.075,    0.000,    1.000
    0.063,    0.000,    0.075,    0.000,    1.000
    0.063,    0.000,    0.074,    0.000,    1.000
    0.063,    0.000,    0.074,    0.000,    1.000
    0.063,    0.000,    0.074,    0.000,    1.000
    0.063,    0.000,    0.074,    0.000,    1.000
    0.063,    0.000,    0.074,    0.000,    1.000
    0.063,    0.000,    0.074,    0.000,    1.000
    0.062,    0.000,    0.074,    0.000,    1.000
    0.062,    0.000,    0.074,    0.000,    1.000
    0.062,    0.000,    0.074,    0.000,    1.000
    0.062,    0.000,    0.074,    0.000,    1.000
    0.062,    0.000,    0.073,    0.000,    1.000
    0.062,    0.000,    0.073,    0.000,    1.000
    0.062,    0.000,    0.073,    0.000,    1.000
    0.062,    0.000,    0.073,    0.000,    1.000
    0.061,    0.000,    0.073,    0.000,    1.000
    0.061,    0.000,    0.073,    0.000,    1.000
    0.061,    0.000,    0.073,    0.000,    1.000
    0.061,    0.000,    0.073,    0.000,    1.000
    0.061,    0.000,    0.073,    0.000,    1.000
    0.061,    0.000,    0.073,    0.000,    1.000
    0.061,    0.000,    0.072,    0.000,    1.000
    0.061,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.060,    0.000,    0.072,    0.000,    1.000
    0.059,    0.000,    0.072,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.059,    0.000,    0.071,    0.000,    1.000
    0.058,    0.000,    0.071,    0.000,    1.000
    0.058,    0.000,    0.071,    0.000,    1.000
    0.058,    0.000,    0.070,    0.000,    1.000
    0.058,    0.000,    0.070,    0.000,    1.000
    0.058,    0.000,    0.070,    0.000,    1.000
    0.058,    0.000,    0.070,    0.000,    1.000
    0.058,    0.000,    0.070,    0.000,    1.000
    0.058,    0.000,    0.070,    0.000,    1.000
    0.057,    0.000,    0.070,    0.000,    1.000
    0.057,    0.000,    0.070,    0.000,    1.000
    0.057,    0.000,    0.070,    0.000,    1.000
    0.057,    0.000,    0.070,    0.000,    1.000
    0.057,    0.000,    0.070,    0.000,    1.000
    0.057,    0.000,    0.069,    0.000,    1.000
    0.057,    0.000,    0.069,    0.000,    1.000
    0.057,    0.000,    0.069,    0.000,    1.000
    0.057,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.069,    0.000,    1.000
    0.056,    0.000,    0.068,    0.000,    1.000
    0.056,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.055,    0.000,    0.068,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.054,    0.000,    0.067,    0.000,    1.000
    0.053,    0.000,    0.067,    0.000,    1.000
    0.053,    0.000,    0.067,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.053,    0.000,    0.066,    0.000,    1.000
    0.052,    0.000,    0.066,    0.000,    1.000
    0.052,    0.000,    0.066,    0.000,    1.000
    0.052,    0.000,    0.066,    0.000,    1.000
    0.052,    0.000,    0.066,    0.000,    1.000
    0.052,    0.000,    0.065,    0.000,    1.000
    0.052,    0.000,    0.065,    0.000,    1.000
    0.052,    0.000,    0.065,    0.000,    1.000
    0.052,    0.000,    0.065,    0.000,    1.000
    0.052,    0.000,    0.065,    0.000,    1.000
    0.052,    0.000,    0.065,    0.000,    1.000
    0.051,    0.000,    0.065,    0.000,    1.000
    0.051,    0.000,    0.065,    0.000,    1.000
    0.051,    0.000,    0.065,    0.000,    1.000
    0.051,    0.000,    0.065,    0.000,    1.000
    0.051,    0.000,    0.065,    0.000,    1.000
    0.051,    0.000,    0.065,    0.000,    1.000
    0.051,    0.000,    0.064,    0.000,    1.000
    0.051,    0.000,    0.064,    0.000,    1.000
    0.051,    0.000,    0.064,    0.000,    1.000
    0.051,    0.000,    0.064,    0.000,    1.000
    0.051,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.064,    0.000,    1.000
    0.050,    0.000,    0.063,    0.000,    1.000
    0.050,    0.000,    0.063,    0.000,    1.000
    0.050,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.063,    0.000,    1.000
    0.049,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.062,    0.000,    1.000
    0.048,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.047,    0.000,    0.061,    0.000,    1.000
    0.046,    0.000,    0.061,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.046,    0.000,    0.060,    0.000,    1.000
    0.045,    0.000,    0.060,    0.000,    1.000
    0.045,    0.000,    0.060,    0.000,    1.000
    0.045,    0.000,    0.060,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.045,    0.000,    0.059,    0.000,    1.000
    0.044,    0.000,    0.059,    0.000,    1.000
    0.044,    0.000,    0.059,    0.000,    1.000
    0.044,    0.000,    0.059,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.044,    0.000,    0.058,    0.000,    1.000
    0.043,    0.000,    0.058,    0.000,    1.000
    0.043,    0.000,    0.058,    0.000,    1.000
    0.043,    0.000,    0.058,    0.000,    1.000
    0.043,    0.000,    0.058,    0.000,    1.000
    0.043,    0.000,    0.058,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.043,    0.000,    0.057,    0.000,    1.000
    0.042,    0.000,    0.057,    0.000,    1.000
    0.042,    0.000,    0.057,    0.000,    1.000
    0.042,    0.000,    0.057,    0.000,    1.000
    0.042,    0.000,    0.057,    0.000,    1.000
    0.042,    0.000,    0.057,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.042,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.056,    0.000,    1.000
    0.041,    0.000,    0.055,    0.000,    1.000
    0.041,    0.000,    0.055,    0.000,    1.000
    0.041,    0.000,    0.055,    0.000,    1.000
    0.041,    0.000,    0.055,    0.000,    1.000
    0.041,    0.000,    0.055,    0.000,    1.000
    0.041,    0.000,    0.055,    0.000,    1.000
    0.041,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.055,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.040,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.054,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.039,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.053,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.038,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.052,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.037,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.051,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.036,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.050,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.035,    0.000,    0.049,    0.000,    1.000
    0.034,    0.000,    0.049,    0.000,    1.000
    0.034,    0.000,    0.049,    0.000,    1.000
    0.034,    0.000,    0.049,    0.000,    1.000
    0.034,    0.000,    0.049,    0.000,    1.000
    0.034,    0.000,    0.049,    0.000,    1.000
    0.034,    0.000,    0.049,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.034,    0.000,    0.048,    0.000,    1.000
    0.033,    0.000,    0.048,    0.000,    1.000
    0.033,    0.000,    0.048,    0.000,    1.000
